"vyne","Vyne"
"Last Transaction ID","Last Transaction ID"
"Status","Status"
"Amount","Amount"
"Captured Amount","Captured Amount"
"Refunded Amount","Refunded Amount"
"Currency","Currency"
"Vyne payment failed. Please contact us for support","Vyne payment failed. Please contact us for support"
"A Webhook request was received with a malformed body. Error: %1","A Webhook request was received with a malformed body. Error: %1"
"Order Updated by Vyne","Order Updated by Vyne"
"Recognized Error :","Recognized Error :"
"Order #%1 cancelled.","Order #%1 cancelled."
"Web payment","Web Payment"
"Refund request %1 has been processed by Vyne and returned with Status %2","Refund request %1 has been processed by Vyne and returned with Status %2"
"Credit Memo generated by Vyne","Credit Memo generated by Vyne"
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Staging","Staging"
"Production","Production"
"Authorize Only","Authorize Only"
"Authorize & Capture","Authorize & Capture"
"URL","URL"
"QR","QR"
